,name,rating,review,values
0,TCS,3.3,(1.2L),Job Security
1,Accenture,3.7,(75k),"Promotions, Salary, Work Satisfaction"
2,Wipro,3.6,(66.2k),"Promotions, Salary, Work Satisfaction"
3,Cognizant,3.7,(62.5k),"Promotions, Salary, Work Satisfaction"
4,Capgemini,3.6,(54.6k),"Work Life Balance, Job Security"
5,HDFC Bank,3.8,(53.7k),"Job Security, Skill Development"
6,Infosys,3.5,(49.8k),Job Security
7,HCLTech,3.4,(46.9k),"Promotions, Salary, Work Satisfaction"
8,ICICI Bank,3.9,(46.6k),"Job Security, Promotions, Skill Development"
9,Tech Mahindra,3.3,(44.1k),"Promotions, Salary, Work Satisfaction"
10,Genpact,3.6,(43.3k),Job Security
11,TP,3.9,(39.5k),"Work Life Balance, Job Security, Skill Development"
12,Axis Bank,3.6,(34k),"Promotions, Work Satisfaction, Company Culture"
13,Jio,4.4,(34k),"Job Security, Skill Development, Company Culture"
14,Concentrix Corporation,3.6,(32.8k),Job Security
15,Amazon,3.9,(32.3k),"Company Culture, Work Life Balance, Salary"
16,Reliance Retail,3.9,(27.7k),"Job Security, Skill Development, Work Life Balance"
17,iEnergizer,4.6,(27.4k),"Company Culture, Work Life Balance, Work Satisfaction"
18,LTIMindtree,3.6,(27k),"Promotions, Salary, Work Satisfaction"
19,HDB Financial Services,3.9,(26.2k),"Promotions, Salary"
